time,lat,lon,elevation,accuracy,bearing,speed
2013-06-11T09:00:11Z,33.643029,-117.842325,12.300000,9.000000,123.900002,1.414214
2013-06-11T09:00:30Z,33.642827,-117.842031,18.799999,11.000000,79.099998,1.250000
2013-06-11T09:00:44Z,33.642679,-117.841667,20.600000,15.000000,84.400002,1.250000
2013-06-11T09:01:10Z,33.642646,-117.841793,40.599998,21.000000,0.000000,0.000000
2013-06-11T09:01:24Z,33.642641,-117.841951,23.799999,7.000000,193.800003,5.250000
2013-06-11T09:01:38Z,33.642429,-117.841274,9.200000,7.000000,70.300003,11.180340
2013-06-11T09:02:08Z,33.642514,-117.837621,13.700000,7.000000,98.099998,11.349560
2013-06-11T09:03:03Z,33.641197,-117.833420,10.800000,7.000000,24.600000,7.000000
2013-06-11T09:03:16Z,33.641700,-117.833239,11.000000,12.000000,351.799988,4.000000
2013-06-11T09:04:12Z,33.641846,-117.833730,9.600000,31.000000,198.600006,1.250000
2013-06-11T09:04:25Z,33.641840,-117.833660,21.299999,18.000000,242.399994,0.500000
2013-06-11T09:04:42Z,33.641646,-117.833380,16.700001,10.000000,122.000000,0.707107
2013-06-11T09:05:14Z,33.641574,-117.833352,23.799999,22.000000,70.599998,0.250000
2013-06-11T09:05:44Z,33.641451,-117.833336,40.700001,35.000000,171.600006,0.750000
2013-06-11T09:06:14Z,33.641619,-117.833457,21.799999,46.000000,345.399994,1.500000
2013-06-11T09:06:52Z,33.641645,-117.833604,24.299999,55.000000,0.000000,0.000000
2013-06-11T09:07:07Z,33.641632,-117.833573,28.200001,19.000000,0.000000,0.000000
2013-06-11T09:07:22Z,33.641627,-117.833540,25.100000,21.000000,0.000000,0.000000
2013-06-11T09:07:37Z,33.641624,-117.833524,23.900000,28.000000,0.000000,0.000000
2013-06-11T09:07:52Z,33.641615,-117.833496,21.500000,19.000000,0.000000,0.000000
2013-06-11T09:08:31Z,33.641613,-117.833500,21.600000,74.000000,0.000000,0.000000
2013-06-11T09:09:10Z,33.641550,-117.833492,17.400000,14.000000,0.000000,0.000000
2013-06-11T09:09:29Z,33.641545,-117.833467,20.200001,11.000000,0.000000,0.000000
2013-06-11T09:09:44Z,33.641548,-117.833459,24.000000,15.000000,0.000000,0.000000
2013-06-11T09:09:58Z,33.641549,-117.833451,25.000000,19.000000,0.000000,0.000000
2013-06-11T09:10:12Z,33.641550,-117.833463,23.500000,16.000000,0.000000,0.000000
2013-06-11T09:10:26Z,33.641551,-117.833461,24.400000,19.000000,0.000000,0.000000
2013-06-11T09:10:41Z,33.641551,-117.833459,23.799999,18.000000,0.000000,0.000000
2013-06-11T09:10:55Z,33.641555,-117.833469,23.900000,18.000000,0.000000,0.000000
2013-06-11T09:11:25Z,33.641558,-117.833469,23.100000,10.000000,0.000000,0.000000
2013-06-11T09:11:44Z,33.641571,-117.833464,24.500000,16.000000,0.000000,0.000000
2013-06-11T09:12:15Z,33.641571,-117.833461,24.200001,19.000000,0.000000,0.000000
2013-06-11T09:12:53Z,33.641571,-117.833464,23.600000,30.000000,0.000000,0.000000
2013-06-11T09:14:10Z,33.641571,-117.833462,24.299999,37.000000,0.000000,0.000000
2013-06-11T09:14:43Z,33.641572,-117.833462,24.200001,26.000000,0.000000,0.000000
2013-06-11T09:15:22Z,33.641572,-117.833460,23.900000,38.000000,0.000000,0.000000
2013-06-11T09:16:43Z,33.641573,-117.833459,24.000000,143.000000,0.000000,0.000000
2013-06-11T09:16:57Z,33.641572,-117.833460,24.600000,21.000000,0.000000,0.000000
2013-06-11T09:17:13Z,33.641570,-117.833454,25.400000,26.000000,0.000000,0.000000
2013-06-11T09:17:28Z,33.641569,-117.833450,25.100000,24.000000,0.000000,0.000000
2013-06-11T09:17:43Z,33.641571,-117.833448,24.799999,17.000000,0.000000,0.000000
2013-06-11T09:17:58Z,33.641573,-117.833445,24.500000,18.000000,0.000000,0.000000
2013-06-11T09:18:14Z,33.641572,-117.833444,24.700001,24.000000,0.000000,0.000000
2013-06-11T09:18:30Z,33.641571,-117.833443,24.700001,30.000000,0.000000,0.000000
2013-06-11T09:18:46Z,33.641573,-117.833438,24.600000,24.000000,0.000000,0.000000
2013-06-11T09:19:01Z,33.641577,-117.833432,24.500000,20.000000,0.000000,0.000000
2013-06-11T09:19:15Z,33.641578,-117.833429,24.600000,19.000000,0.000000,0.000000
2013-06-11T09:19:31Z,33.641577,-117.833430,24.700001,23.000000,0.000000,0.000000
2013-06-11T09:19:47Z,33.641576,-117.833431,24.700001,27.000000,0.000000,0.000000
2013-06-11T09:20:03Z,33.641578,-117.833428,24.600000,31.000000,0.000000,0.000000
2013-06-11T09:20:18Z,33.641578,-117.833427,24.600000,19.000000,0.000000,0.000000
2013-06-11T09:20:33Z,33.641581,-117.833423,24.600000,19.000000,0.000000,0.000000
2013-06-11T09:20:49Z,33.641577,-117.833424,25.000000,22.000000,0.000000,0.000000
2013-06-11T09:21:04Z,33.641576,-117.833424,25.100000,22.000000,0.000000,0.000000
2013-06-11T09:21:20Z,33.641577,-117.833425,25.100000,23.000000,0.000000,0.000000
2013-06-11T09:21:40Z,33.641578,-117.833425,25.200001,49.000000,0.000000,0.000000
2013-06-11T09:21:57Z,33.641578,-117.833425,25.200001,39.000000,0.000000,0.000000
2013-06-11T09:22:13Z,33.641578,-117.833425,25.200001,35.000000,0.000000,0.000000
2013-06-11T09:22:30Z,33.641578,-117.833425,25.299999,30.000000,0.000000,0.000000
2013-06-11T09:23:41Z,33.641578,-117.833425,25.299999,111.000000,0.000000,0.000000
2013-06-11T09:23:58Z,33.641576,-117.833425,24.900000,34.000000,0.000000,0.000000
2013-06-11T09:25:34Z,33.641575,-117.833426,24.900000,57.000000,0.000000,0.000000
2013-06-11T09:26:05Z,33.641580,-117.833427,25.299999,59.000000,0.000000,0.000000
2013-06-11T09:27:25Z,33.641580,-117.833427,25.299999,128.000000,0.000000,0.000000
2013-06-11T09:27:41Z,33.641580,-117.833427,25.400000,34.000000,0.000000,0.000000
2013-06-11T09:29:39Z,33.641580,-117.833427,25.400000,206.000000,0.000000,0.000000
2013-06-11T09:30:00Z,33.641580,-117.833427,25.400000,45.000000,0.000000,0.000000
2013-06-11T09:30:17Z,33.641579,-117.833427,25.600000,32.000000,0.000000,0.000000
2013-06-11T09:30:36Z,33.641577,-117.833426,26.100000,45.000000,0.000000,0.000000
2013-06-11T09:30:53Z,33.641576,-117.833425,26.400000,31.000000,0.000000,0.000000
2013-06-11T09:31:11Z,33.641576,-117.833425,26.400000,40.000000,0.000000,0.000000
